Updated At, updated On, Light Intencity
5/24/2025, 3:27:59 PM,15.00
5/24/2025, 3:28:04 PM,0.00
5/24/2025, 3:28:09 PM,34.00
5/24/2025, 3:28:15 PM,1.00
5/24/2025, 3:28:20 PM,0.00
5/24/2025, 3:28:25 PM,12.00
5/24/2025, 3:28:30 PM,48.00
5/24/2025, 3:28:35 PM,47.00
5/24/2025, 3:28:40 PM,1.00
5/24/2025, 3:28:45 PM,35.00
5/24/2025, 3:28:51 PM,18.00
5/24/2025, 3:28:56 PM,13.00
5/24/2025, 3:29:01 PM,0.00
5/24/2025, 3:29:06 PM,0.00
5/24/2025, 3:29:11 PM,0.00
5/24/2025, 3:29:16 PM,0.00
5/24/2025, 3:29:21 PM,0.00
5/24/2025, 3:29:27 PM,0.00
5/24/2025, 3:29:58 PM,0.00
5/24/2025, 3:30:03 PM,0.00
5/24/2025, 3:30:09 PM,0.00
5/24/2025, 3:30:14 PM,0.00
5/24/2025, 3:30:19 PM,4095.00
5/24/2025, 3:30:24 PM,4095.00
5/24/2025, 3:30:29 PM,0.00
5/24/2025, 3:30:34 PM,225.00
5/24/2025, 3:30:39 PM,229.00
5/24/2025, 3:30:44 PM,244.00
5/24/2025, 3:30:50 PM,0.00
5/24/2025, 3:30:55 PM,0.00
5/24/2025, 3:31:00 PM,0.00
5/24/2025, 3:31:05 PM,0.00
5/24/2025, 3:31:10 PM,0.00
5/24/2025, 3:31:15 PM,0.00
5/24/2025, 3:31:21 PM,0.00
5/24/2025, 3:31:26 PM,0.00
5/24/2025, 3:31:31 PM,0.00
5/24/2025, 3:31:36 PM,0.00
5/24/2025, 3:31:41 PM,0.00
5/24/2025, 3:31:46 PM,0.00
5/24/2025, 3:31:51 PM,0.00
5/24/2025, 3:31:57 PM,0.00
5/24/2025, 3:32:02 PM,0.00
5/24/2025, 3:32:07 PM,0.00
5/24/2025, 3:32:12 PM,0.00
5/24/2025, 3:32:17 PM,0.00
5/24/2025, 3:32:22 PM,0.00
5/24/2025, 3:32:28 PM,0.00
5/24/2025, 3:32:33 PM,0.00
5/24/2025, 3:32:38 PM,0.00
5/24/2025, 3:32:43 PM,0.00
5/24/2025, 3:32:48 PM,0.00
5/24/2025, 3:32:53 PM,0.00
5/24/2025, 3:32:59 PM,0.00
5/24/2025, 3:33:04 PM,0.00
5/24/2025, 3:33:09 PM,0.00
5/24/2025, 3:33:14 PM,0.00
5/24/2025, 3:33:19 PM,0.00
5/24/2025, 3:33:25 PM,0.00
5/24/2025, 3:33:30 PM,0.00
5/24/2025, 3:33:35 PM,0.00
5/24/2025, 3:33:40 PM,0.00
5/24/2025, 3:33:45 PM,0.00
5/24/2025, 3:33:50 PM,0.00
5/24/2025, 3:33:55 PM,0.00
5/24/2025, 3:34:00 PM,0.00
5/24/2025, 3:34:06 PM,0.00
5/24/2025, 3:34:11 PM,0.00
5/24/2025, 3:34:16 PM,0.00
5/24/2025, 3:34:21 PM,0.00
5/24/2025, 3:34:26 PM,0.00
5/24/2025, 3:34:32 PM,0.00
5/24/2025, 3:34:37 PM,0.00
5/24/2025, 3:34:42 PM,0.00
5/24/2025, 3:34:47 PM,0.00
5/24/2025, 3:34:52 PM,0.00
5/24/2025, 3:34:57 PM,0.00
5/24/2025, 3:35:02 PM,0.00
5/24/2025, 3:35:08 PM,0.00
5/24/2025, 3:35:13 PM,0.00
5/24/2025, 3:35:18 PM,0.00
5/24/2025, 3:35:23 PM,0.00
5/24/2025, 3:35:28 PM,0.00
5/24/2025, 3:35:34 PM,0.00
5/24/2025, 3:35:39 PM,0.00
5/24/2025, 3:35:44 PM,0.00
5/24/2025, 3:35:49 PM,0.00
5/24/2025, 3:35:54 PM,0.00
5/24/2025, 3:36:00 PM,0.00
5/24/2025, 3:36:05 PM,0.00
5/24/2025, 3:36:10 PM,0.00
5/24/2025, 3:36:15 PM,0.00
5/24/2025, 3:36:20 PM,0.00
5/24/2025, 3:36:25 PM,0.00
5/24/2025, 3:36:30 PM,0.00
5/24/2025, 3:36:35 PM,0.00
5/24/2025, 3:36:41 PM,0.00
5/24/2025, 3:36:46 PM,0.00
5/24/2025, 3:36:51 PM,0.00
5/24/2025, 3:36:56 PM,0.00
5/24/2025, 3:37:01 PM,0.00
5/24/2025, 3:37:07 PM,0.00
5/24/2025, 3:37:12 PM,0.00
5/24/2025, 3:37:17 PM,0.00
